,mentee_intake_id,first_name,last_name,email,profile_id,gender,formerly_incarcerated,convictions_list,veteran_status,intention,tech_stack,career_development,known_languages,date_submitted
33,34,Peyton,Moore,Peyton_Moore@yahoo.com,6423846117830970886,Male,True,"['Marijuana Possession', 'Driving on a Suspended License', 'Battery', 'Petit Theft']",False,Programming Readiness,Data Science,None,HTML,2021-11-24
34,35,Iker,Stewart,Iker_Stewart@hotmail.com,2984711787979945777,Female,True,['Marijuana Possession'],False,Programming Readiness,Backend,None,None,2021-08-25
35,36,Bishop,Flores,Bishop_Flores@myspace.com,145305624142568812,Non-binary,True,"['Homicide', 'Aggrivated Battery', 'First Offense Prostitution']",False,Programming Readiness,IOS,None,None,2020-01-07
36,37,Ryan,Jimenez,Ryan_Jimenez@gmail.com,8321168276164947140,Male,False,None,False,Life Coaching,None,None,None,2020-02-09
37,38,Jair,Evans,Jair_Evans@gmail.com,9035171259790241118,Non-binary,True,"['Battery', 'Petit Theft', 'Battery on Law Enforcement Officer', 'First Offense Prostitution']",False,Career Readiness,None,['Interview Preperation'],None,2020-11-07
38,39,Aubriella,Mendoza,Aubriella_Mendoza@yahoo.com,2738367317219092318,Non-binary,True,['Driving on a Suspended License'],False,Programming Readiness,Web3,None,None,2020-03-17
39,40,Bear,Watson,Bear_Watson@myspace.com,5048503956679015253,Non-binary,True,"['Felony Battery', 'Petit Theft', 'Battery on Law Enforcement Officer', 'Marijuana Possession']",False,Programming Readiness,IOS,None,None,2020-01-24
40,41,Saul,Johnson,Saul_Johnson@yahoo.com,9213704470658783685,Female,True,"['Drug Possession', 'Felony Battery', 'Petit Theft', 'Homicide']",False,Career Readiness,None,"['Resume Help', 'Job Searching', 'Interview Preperation']",None,2020-06-26
41,42,Abel,Long,Abel_Long@myspace.com,88856172842596796,Female,True,"['Driving on a Suspended License', 'Tax Evasion', 'Marijuana Possession', 'Battery']",False,Programming Readiness,Data Science,None,Python,2020-03-01
42,43,Lucian,Ross,Lucian_Ross@yahoo.com,7595630430992842488,Male,True,"['Petit Theft', 'Aggrivated Battery', 'Marijuana Possession']",False,Career Readiness,None,"['Interview Preperation', 'Job Searching']",None,2020-05-05
43,44,Louis,Phillips,Louis_Phillips@aol.com,4344693282398437883,Non-binary,True,"['Battery on Law Enforcement Officer', 'Resisting an Officer without Violence']",False,Life Coaching,None,None,Python,2020-04-16
44,45,Lochlan,Lewis,Lochlan_Lewis@myspace.com,5500579642443123351,Male,True,"['Homicide', 'Tax Evasion', 'First Offense Prostitution']",False,Programming Readiness,Backend,None,Python,2021-07-26
45,46,Santos,Baker,Santos_Baker@gmail.com,997160804671146023,Male,True,"['Marijuana Possession', 'Homicide']",False,Career Readiness,None,"['Interview Preperation', 'Resume Help']",None,2020-02-11
46,47,Gordon,Wood,Gordon_Wood@icloud.com,3472520796054781098,Female,True,['Driving on a Suspended License'],False,Career Readiness,None,"['Interview Preperation', 'Job Searching']",None,2021-12-16
47,48,Caspian,Cooper,Caspian_Cooper@gmail.com,414676813060895134,Female,True,"['Agrivated Assult', 'Homicide']",False,Career Readiness,None,"['Resume Help', 'Interview Preperation']",None,2021-11-22
48,49,Kannon,Diaz,Kannon_Diaz@gmail.com,3754024216667678458,Non-binary,True,"['Tax Evasion', 'Homicide', 'Felony Battery', 'Drug Possession']",False,Programming Readiness,Web3,None,None,2020-08-11
49,50,Randy,Wood,Randy_Wood@icloud.com,5730301987914648582,Male,False,None,False,Programming Readiness,Backend,None,Python,2021-06-06
50,51,Tru,Collins,Tru_Collins@icloud.com,4716800348005765758,Male,True,"['Loitering and Prowling', 'Tax Evasion', 'First Offense Prostitution', 'Battery']",False,Programming Readiness,IOS,None,None,2020-08-25
51,52,Jair,Price,Jair_Price@aol.com,1167039997499361985,Female,True,"['Loitering and Prowling', 'Agrivated Assult']",False,Programming Readiness,Web3,None,None,2020-10-03
52,53,Maci,Hill,Maci_Hill@yahoo.com,6469727693893279272,Male,True,['Tax Evasion'],False,Life Coaching,None,None,None,2020-11-28
53,54,Andy,Wilson,Andy_Wilson@aol.com,4264943220914517204,Non-binary,True,"['Battery on Law Enforcement Officer', 'Petit Theft', 'Marijuana Possession', 'Aggrivated Battery']",False,Programming Readiness,Backend,None,Python,2021-08-31
54,55,Niklaus,Hughes,Niklaus_Hughes@myspace.com,5505345233208066414,Female,False,None,False,Career Readiness,None,"['Resume Help', 'Job Searching', 'Interview Preperation']",None,2021-08-12
55,56,Arian,Richardson,Arian_Richardson@aol.com,7880939294699225152,Female,True,"['Battery', 'Resisting an Officer without Violence']",False,Programming Readiness,Data Science,None,None,2020-02-11
56,57,Dior,Cooper,Dior_Cooper@hotmail.com,714830663901552978,Non-binary,True,"['First Offense Prostitution', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Data Science,None,Java,2020-10-23
57,58,Richard,Davis,Richard_Davis@icloud.com,5342158327363459659,Female,True,"['Marijuana Possession', 'Tax Evasion']",False,Career Readiness,None,"['Resume Help', 'Interview Preperation']",None,2021-12-03
58,59,Deandre,Rivera,Deandre_Rivera@myspace.com,3622100657182524984,Male,True,"['Felony Battery', 'Driving on a Suspended License', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Backend,None,None,2021-03-24
59,60,Cristian,Taylor,Cristian_Taylor@aol.com,2220507960915457688,Non-binary,True,['Resisting an Officer without Violence'],False,Programming Readiness,Backend,None,None,2021-11-10
60,61,Aaron,Rogers,Aaron_Rogers@gmail.com,9202000464687165992,Male,True,"['Battery', 'Loitering and Prowling', 'Battery on Law Enforcement Officer']",False,Programming Readiness,IOS,None,Python,2021-07-25
61,62,Vance,Chavez,Vance_Chavez@aol.com,3295187075695380290,Non-binary,True,"['Loitering and Prowling', 'Felony Battery', 'Resisting an Officer without Violence']",False,Career Readiness,None,"['Job Searching', 'Resume Help', 'Interview Preperation']",None,2020-07-02
62,63,Asa,Rogers,Asa_Rogers@gmail.com,4215176789573708480,Male,True,"['Drug Possession', 'Resisting an Officer without Violence']",True,Programming Readiness,Web3,None,None,2021-12-10
63,64,Jalen,Clark,Jalen_Clark@gmail.com,4062575632586239342,Non-binary,True,"['Drug Possession', 'Homicide']",False,Programming Readiness,Web3,None,None,2020-12-01
64,65,Renata,Moore,Renata_Moore@myspace.com,392264758241616735,Non-binary,False,None,False,Career Readiness,None,"['Interview Preperation', 'Job Searching']",None,2020-03-23
65,66,Landyn,Kelly,Landyn_Kelly@aol.com,6678627819765301328,Male,True,['Felony Battery'],False,Programming Readiness,Android,None,None,2020-08-20
66,67,Matthias,Kim,Matthias_Kim@yahoo.com,6437123002174895457,Female,True,"['Battery', 'Drug Possession']",False,Programming Readiness,Web3,None,None,2020-01-14
67,68,Carlos,Gray,Carlos_Gray@aol.com,504751095829936954,Female,True,"['Battery on Law Enforcement Officer', 'Driving on a Suspended License']",False,Career Readiness,None,['Resume Help'],Python,2021-09-30
68,69,Maximus,Scott,Maximus_Scott@icloud.com,397417924135346662,Non-binary,True,"['Resisting an Officer without Violence', 'Marijuana Possession', 'Felony Battery', 'Homicide']",False,Programming Readiness,Android,None,Python,2021-10-24
69,70,Trey,Foster,Trey_Foster@yahoo.com,1652475208536759653,Male,True,"['Battery', 'Aggrivated Battery']",False,Programming Readiness,IOS,None,Python,2021-12-12
70,71,Langston,Wood,Langston_Wood@gmail.com,2749007969307994236,Female,True,"['Felony Battery', 'First Offense Prostitution', 'Loitering and Prowling', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Backend,None,None,2021-08-28
71,72,Abel,Lee,Abel_Lee@gmail.com,1797655107789212908,Female,True,['Marijuana Possession'],False,Programming Readiness,Web Development,None,HTML,2020-10-20
72,73,Conor,Flores,Conor_Flores@icloud.com,6988175401048801068,Female,False,None,False,Career Readiness,None,['Resume Help'],None,2020-07-27
73,74,Dilan,Patel,Dilan_Patel@icloud.com,2214240729458536942,Male,True,"['Tax Evasion', 'Driving on a Suspended License', 'Homicide']",True,Programming Readiness,Backend,None,None,2020-01-23
74,75,Bentlee,Morris,Bentlee_Morris@yahoo.com,2497914035884115824,Non-binary,True,"['Battery', 'First Offense Prostitution', 'Aggrivated Battery']",True,Programming Readiness,Web3,None,Java,2020-01-20
75,76,Easton,Rodriguez,Easton_Rodriguez@aol.com,2666155057664846906,Male,True,"['Driving on a Suspended License', 'Resisting an Officer without Violence', 'Battery on Law Enforcement Officer', 'Petit Theft']",False,Programming Readiness,IOS,None,HTML,2020-02-23
76,77,Dani,Brown,Dani_Brown@myspace.com,7666580301332393285,Female,True,['Tax Evasion'],False,Programming Readiness,Web Development,None,None,2021-03-19
77,78,Elliot,Rogers,Elliot_Rogers@myspace.com,3204697762437005407,Female,True,['Battery'],False,Career Readiness,None,"['Interview Preperation', 'Job Searching', 'Resume Help']",None,2020-02-11
78,79,Aron,Evans,Aron_Evans@myspace.com,4927414114288878076,Male,True,"['Resisting an Officer without Violence', 'Aggrivated Battery', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Web3,None,None,2020-10-29
79,80,Diego,Campbell,Diego_Campbell@aol.com,3599645559582232843,Male,False,None,False,Programming Readiness,IOS,None,None,2020-06-05
80,81,Bentley,Alvarez,Bentley_Alvarez@gmail.com,7256954308788893891,Female,True,"['First Offense Prostitution', 'Aggrivated Battery', 'Loitering and Prowling', 'Marijuana Possession']",False,Programming Readiness,Data Science,None,None,2021-10-15
81,82,Makayla,Stewart,Makayla_Stewart@hotmail.com,274687089381753548,Non-binary,False,None,False,Career Readiness,None,"['Job Searching', 'Interview Preperation', 'Resume Help']",HTML,2020-11-30
82,83,Adler,Jimenez,Adler_Jimenez@yahoo.com,6831490030412105191,Non-binary,False,None,False,Programming Readiness,Web Development,None,None,2020-03-04
83,84,Jorge,Mitchell,Jorge_Mitchell@gmail.com,8435633719538706781,Non-binary,False,None,False,Career Readiness,None,"['Job Searching', 'Interview Preperation', 'Resume Help']",None,2020-04-28
84,85,Lochlan,Evans,Lochlan_Evans@myspace.com,8911082519728857987,Female,True,"['Battery', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Android,None,None,2020-02-29
85,86,Cain,Parker,Cain_Parker@aol.com,2372309876279890277,Female,True,"['Driving on a Suspended License', 'Aggrivated Battery']",False,Programming Readiness,Web Development,None,HTML,2021-10-11
86,87,Miller,Cox,Miller_Cox@myspace.com,7533628640241064851,Female,True,"['Homicide', 'Marijuana Possession']",False,Programming Readiness,Android,None,None,2020-09-07
87,88,Bailee,Reed,Bailee_Reed@gmail.com,404637537079281096,Non-binary,True,['Homicide'],False,Programming Readiness,Web Development,None,HTML,2021-02-18
88,89,Kori,Thomas,Kori_Thomas@gmail.com,1850806672133889467,Female,True,"['First Offense Prostitution', 'Homicide']",False,Programming Readiness,Data Science,None,None,2020-10-19
89,90,Javier,Morales,Javier_Morales@gmail.com,2300752706345589490,Male,True,"['Driving on a Suspended License', 'Homicide']",False,Career Readiness,None,"['Interview Preperation', 'Resume Help']",None,2021-08-27
90,91,River,Anderson,River_Anderson@aol.com,226822733515099389,Male,True,['Marijuana Possession'],False,Programming Readiness,Android,None,None,2020-08-14
91,92,Jakari,King,Jakari_King@icloud.com,7013039315431197902,Female,True,"['Loitering and Prowling', 'Marijuana Possession']",False,Career Readiness,None,"['Resume Help', 'Job Searching']",None,2020-01-15
92,93,Harper,Castillo,Harper_Castillo@icloud.com,2382040116653232396,Non-binary,True,"['Petit Theft', 'First Offense Prostitution', 'Resisting an Officer without Violence', 'Battery on Law Enforcement Officer']",True,Life Coaching,None,None,None,2020-10-22
93,94,King,Long,King_Long@aol.com,3691496231042882904,Non-binary,False,None,False,Career Readiness,None,['Interview Preperation'],None,2020-07-06
94,95,Winnie,Adams,Winnie_Adams@icloud.com,5120646524620521513,Non-binary,True,"['Marijuana Possession', 'Resisting an Officer without Violence']",True,Career Readiness,None,"['Job Searching', 'Resume Help']",None,2020-12-13
95,96,Louisa,Lewis,Louisa_Lewis@aol.com,2950329108660538755,Non-binary,True,['Tax Evasion'],False,Career Readiness,None,['Interview Preperation'],Python,2020-01-06
96,97,Natalia,Evans,Natalia_Evans@icloud.com,1157015547096277006,Female,True,"['First Offense Prostitution', 'Battery', 'Marijuana Possession', 'Homicide']",False,Programming Readiness,Data Science,None,Java,2020-06-12
97,98,Caspian,Sanders,Caspian_Sanders@gmail.com,91762022095523346,Non-binary,True,"['Resisting an Officer without Violence', 'Battery on Law Enforcement Officer']",True,Career Readiness,None,"['Job Searching', 'Resume Help']",None,2020-04-30
98,99,Banks,Ross,Banks_Ross@icloud.com,2508451212432072157,Female,True,['First Offense Prostitution'],False,Programming Readiness,Android,None,Python,2020-07-03
99,100,Rhys,Parker,Rhys_Parker@aol.com,5948772868523755990,Non-binary,True,['Drug Possession'],False,Programming Readiness,Web3,None,None,2020-03-18
100,101,Amos,Harris,Amos_Harris@yahoo.com,3186749527403276088,Non-binary,True,"['Battery on Law Enforcement Officer', 'Marijuana Possession', 'First Offense Prostitution']",False,Programming Readiness,IOS,None,None,2020-11-02
101,102,Issac,Jimenez,Issac_Jimenez@myspace.com,5502752831445307689,Male,True,"['Resisting an Officer without Violence', 'Aggrivated Battery', 'Battery on Law Enforcement Officer']",False,Life Coaching,None,None,None,2020-04-16
102,103,Brock,Scott,Brock_Scott@hotmail.com,3959849641065872382,Female,True,"['Marijuana Possession', 'Battery']",False,Career Readiness,None,"['Resume Help', 'Job Searching', 'Interview Preperation']",Python,2020-04-23
103,104,Elias,Green,Elias_Green@yahoo.com,4488929984780927252,Female,False,None,False,Programming Readiness,Android,None,None,2020-04-16
104,105,Dominic,Cruz,Dominic_Cruz@gmail.com,8494137374810959219,Non-binary,True,['Aggrivated Battery'],False,Career Readiness,None,"['Interview Preperation', 'Job Searching', 'Resume Help']",None,2020-08-26
105,106,Celeste,Hill,Celeste_Hill@gmail.com,3405343739590510580,Non-binary,False,None,False,Programming Readiness,Data Science,None,None,2021-07-16
106,107,Dennis,Davis,Dennis_Davis@hotmail.com,861221871675577797,Female,True,"['First Offense Prostitution', 'Battery on Law Enforcement Officer', 'Driving on a Suspended License']",False,Career Readiness,None,['Job Searching'],Python,2020-11-27
107,108,Kobe,Anderson,Kobe_Anderson@icloud.com,3075197290760718484,Male,True,['Driving on a Suspended License'],False,Programming Readiness,Web Development,None,None,2020-02-27
108,109,Carmelo,Flores,Carmelo_Flores@myspace.com,5408104305521605138,Male,True,"['Tax Evasion', 'Battery']",False,Programming Readiness,Data Science,None,None,2020-07-04
109,110,Rayan,Wood,Rayan_Wood@aol.com,8898869787168813947,Female,True,"['Petit Theft', 'Felony Battery']",False,Programming Readiness,Data Science,None,None,2020-07-12
110,111,Bryan,Cruz,Bryan_Cruz@hotmail.com,5194404688322850139,Female,False,None,False,Career Readiness,None,"['Interview Preperation', 'Resume Help', 'Job Searching']",None,2020-07-06
111,112,Trinity,Howard,Trinity_Howard@icloud.com,2420292985813588079,Female,True,"['Battery on Law Enforcement Officer', 'Marijuana Possession', 'Driving on a Suspended License']",False,Programming Readiness,Web3,None,Python,2020-04-10
112,113,Grady,Rivera,Grady_Rivera@gmail.com,5004842430503688165,Male,True,"['Felony Battery', 'Agrivated Assult']",False,Programming Readiness,Android,None,None,2020-12-17
113,114,Felipe,Ruiz,Felipe_Ruiz@icloud.com,7356059301790369921,Non-binary,True,['First Offense Prostitution'],False,Programming Readiness,Data Science,None,None,2021-12-02
114,115,Crystal,Hall,Crystal_Hall@myspace.com,9161491709717875379,Male,True,"['Aggrivated Battery', 'Loitering and Prowling', 'Homicide', 'Felony Battery']",False,Programming Readiness,Backend,None,None,2020-05-15
115,116,Mason,Stewart,Mason_Stewart@myspace.com,777930243201500026,Female,True,"['Loitering and Prowling', 'Drug Possession']",False,Programming Readiness,Android,None,None,2020-10-02
116,117,Elliott,Perez,Elliott_Perez@aol.com,110041333395542146,Male,True,"['Battery on Law Enforcement Officer', 'Driving on a Suspended License', 'Petit Theft', 'Marijuana Possession']",False,Career Readiness,None,"['Resume Help', 'Job Searching', 'Interview Preperation']",Java,2020-08-12
117,118,Karson,Wilson,Karson_Wilson@icloud.com,8097949781451592328,Male,False,None,False,Career Readiness,None,"['Interview Preperation', 'Job Searching']",None,2020-09-16
118,119,Calum,Martin,Calum_Martin@gmail.com,8667798584655912236,Male,False,None,False,Life Coaching,None,None,Python,2020-04-26
119,120,Donovan,Nguyen,Donovan_Nguyen@hotmail.com,3060301261191609542,Female,True,"['Battery on Law Enforcement Officer', 'Driving on a Suspended License']",False,Career Readiness,None,"['Job Searching', 'Resume Help']",Python,2020-09-23
120,121,Aries,Thomas,Aries_Thomas@icloud.com,7062390149756891278,Female,True,"['Tax Evasion', 'Drug Possession']",False,Programming Readiness,Web3,None,None,2021-01-10
121,122,Leo,Rodriguez,Leo_Rodriguez@gmail.com,5342247980241737533,Female,True,['Battery on Law Enforcement Officer'],False,Career Readiness,None,['Job Searching'],None,2021-03-19
122,123,Gage,Nelson,Gage_Nelson@hotmail.com,5896635220839086831,Non-binary,True,"['Petit Theft', 'Battery', 'Drug Possession']",False,Programming Readiness,IOS,None,None,2021-06-02
123,124,Jair,Nguyen,Jair_Nguyen@icloud.com,6158280014094087729,Female,True,"['Marijuana Possession', 'Agrivated Assult', 'Battery on Law Enforcement Officer', 'Loitering and Prowling']",False,Programming Readiness,Web Development,None,Python,2020-10-09
124,125,Hayes,Rogers,Hayes_Rogers@icloud.com,6381523470632870243,Female,True,"['Driving on a Suspended License', 'Aggrivated Battery', 'Loitering and Prowling', 'Homicide']",False,Programming Readiness,Android,None,None,2020-07-28
125,126,Oaklynn,Chavez,Oaklynn_Chavez@gmail.com,6163554037751617446,Male,True,"['Battery on Law Enforcement Officer', 'Felony Battery']",False,Programming Readiness,Web3,None,None,2021-07-18
126,127,Thea,Mitchell,Thea_Mitchell@aol.com,3129741250495156309,Female,False,None,False,Programming Readiness,Backend,None,None,2020-01-03
127,128,Mohammad,Garcia,Mohammad_Garcia@aol.com,140448631379766899,Non-binary,True,"['Driving on a Suspended License', 'Battery']",False,Career Readiness,None,"['Job Searching', 'Resume Help', 'Interview Preperation']",Python,2020-02-02
128,129,Ayla,Smith,Ayla_Smith@aol.com,4514923364481954445,Female,True,"['Driving on a Suspended License', 'Battery on Law Enforcement Officer', 'First Offense Prostitution', 'Felony Battery']",False,Programming Readiness,Android,None,None,2021-03-14
129,130,Alexander,Watson,Alexander_Watson@aol.com,6423799891762568413,Male,True,"['Loitering and Prowling', 'Homicide']",False,Programming Readiness,Backend,None,None,2020-11-08
130,131,Branson,Torres,Branson_Torres@hotmail.com,2609269416117988277,Non-binary,True,"['Resisting an Officer without Violence', 'Battery', 'Drug Possession']",False,Programming Readiness,Android,None,Java,2021-06-05
131,132,Miller,Morris,Miller_Morris@aol.com,3245920489410354264,Non-binary,True,['First Offense Prostitution'],False,Programming Readiness,Web3,None,None,2021-04-30
132,133,Dayana,Brown,Dayana_Brown@aol.com,5114307622997392644,Female,True,"['Drug Possession', 'Driving on a Suspended License', 'Aggrivated Battery', 'Battery']",False,Programming Readiness,Web3,None,None,2021-02-26
133,134,Graysen,Price,Graysen_Price@myspace.com,1574851673215408472,Non-binary,True,['Driving on a Suspended License'],False,Programming Readiness,Web Development,None,Python,2020-01-20
134,135,Reuben,Kelly,Reuben_Kelly@aol.com,1765338648718785514,Female,True,"['Battery', 'Felony Battery', 'Driving on a Suspended License', 'Homicide']",False,Programming Readiness,Web Development,None,None,2020-03-03
135,136,Joanna,Morgan,Joanna_Morgan@aol.com,7869677022563397366,Female,False,None,False,Career Readiness,None,['Job Searching'],None,2021-12-06
136,137,Hendrix,Edwards,Hendrix_Edwards@icloud.com,7761324361972578349,Non-binary,True,"['Driving on a Suspended License', 'First Offense Prostitution']",False,Programming Readiness,Data Science,None,None,2020-04-09
137,138,Cesar,Torres,Cesar_Torres@hotmail.com,569536300959728938,Non-binary,True,"['Agrivated Assult', 'Drug Possession', 'Felony Battery', 'Marijuana Possession']",False,Programming Readiness,Data Science,None,Python,2020-03-24
138,139,Aron,Johnson,Aron_Johnson@icloud.com,2392039489525427804,Non-binary,True,"['Petit Theft', 'Tax Evasion', 'Felony Battery', 'Battery on Law Enforcement Officer']",False,Career Readiness,None,"['Interview Preperation', 'Resume Help']",Python,2020-04-04
139,140,Raphael,Cook,Raphael_Cook@hotmail.com,658683032831295070,Male,True,['Battery on Law Enforcement Officer'],False,Career Readiness,None,['Job Searching'],Python,2020-04-23
140,141,Flynn,Brown,Flynn_Brown@myspace.com,4012294194556308389,Non-binary,True,['Aggrivated Battery'],False,Career Readiness,None,"['Job Searching', 'Interview Preperation', 'Resume Help']",None,2020-07-05
141,142,Ainsley,Gutierrez,Ainsley_Gutierrez@yahoo.com,8670189341722679692,Male,True,"['Felony Battery', 'Agrivated Assult', 'Marijuana Possession', 'Driving on a Suspended License']",False,Programming Readiness,Data Science,None,None,2021-08-06
